asset_id,asset_type,country,city,geo_lat,geo_lon,location_quality,currency_code,valuation_date,age_years,base_value_hint,year_built,floor,floors_total,bedrooms,bathrooms,parking_slots,area_m2,land_area_m2,frontage_m,road_width_m,zoning,condition_grade,occupancy,monthly_rent,flood_risk_zone,school_dist_km,metro_dist_km,shape_quality,road_access,year_make_model,vehicle_year,odometer_km,engine_cc,accident_history,service_records_count,ownership_count,inspection_needed,legal_status,ownership_verified,lien_count,registry_id,requested_amount,market_value,estimated_value,LTV,CCR,quality_score,decision,rule_reasons
A-000001,Apartment,US,San Jose,37.3192,-121.87499,C,USD,2025-10-30,45,201971.0,1980.0,19.0,21.0,0.0,3.0,1.0,212.0,370.0,28.1,20.38,Commercial,B,owner,4936.0,0.0,1.04,1.9,,,,,,,,,,True,Clean,True,2,REG-762177132,36239.0,75931.66,80573.14,0.4498,2.2234,0.762,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000002,House,UK,London,51.49143,-0.12704,B,USD,2025-10-30,44,259324.0,1981.0,0.0,5.0,2.0,1.0,2.0,1149.0,455.0,8.93,6.51,Commercial,C,owner,3386.0,0.0,2.74,1.63,,,,,,,,,,False,Clean,False,1,REG-930275054,66223.0,134126.14,135592.73,0.4884,2.0475,0.837,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000003,Land Plot,FR,Paris,48.87358,2.35135,C,USD,2025-10-30,46,235589.0,,,,,,,,3703.0,36.28,,Residential,,,,,,,A,False,,,,,,,,False,Clean,False,1,REG-349409462,914239.0,1707110.21,1563468.01,0.5848,1.7101,0.747,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000004,House,DE,Berlin,52.53172,13.42422,B,USD,2025-10-30,12,225088.0,2013.0,0.0,3.0,5.0,3.0,0.0,747.0,4122.0,11.32,10.93,Residential,C,tenant,3030.0,1.0,2.63,0.95,,,,,,,,,,True,Clean,False,0,REG-984464553,42444.0,136321.08,133719.13,0.3174,3.1505,0.742,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000005,Land Plot,VN,Ho Chi Minh,10.77061,106.70025,A,USD,2025-10-30,22,118343.0,,,,,,,,2454.0,39.67,,Industrial,,,,,,,A,False,,,,,,,,False,Clean,False,0,REG-249592684,576432.0,738117.57,752871.59,0.7656,1.3061,0.914,approved,"{'legal_clean': True, 'ltv_le_70': False, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000006,House,VN,Hanoi,21.04598,105.83287,C,USD,2025-10-30,5,289869.0,2020.0,0.0,5.0,0.0,2.0,2.0,654.0,3630.0,19.06,7.77,Commercial,D,tenant,2956.0,0.0,2.23,1.22,,,,,,,,,,False,Clean,True,0,REG-171328162,54623.0,159613.97,161044.72,0.3392,2.9483,0.66,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000007,Apartment,JP,Tokyo,35.6967,139.69714,A,USD,2025-10-30,55,248246.0,1970.0,14.0,18.0,2.0,2.0,1.0,135.0,22.0,28.92,16.02,Commercial,A,tenant,4696.0,0.0,2.41,0.41,,,,,,,,,,False,Clean,True,0,REG-369993511,64490.0,138455.77,135580.34,0.4757,2.1023,0.883,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000008,House,US,New York,40.70718,-73.98868,D,USD,2025-10-30,39,375451.0,1986.0,0.0,1.0,1.0,1.0,1.0,2207.0,3656.0,23.98,5.91,Industrial,B,owner,5496.0,0.0,4.13,0.54,,,,,,,,,,True,Clean,False,0,REG-197718166,73022.0,94047.18,95857.36,0.7618,1.3127,0.642,approved,"{'legal_clean': True, 'ltv_le_70': False, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000009,House,US,San Jose,37.33918,-121.9031,A,USD,2025-10-30,9,458837.0,2016.0,0.0,1.0,4.0,3.0,2.0,716.0,4475.0,17.49,11.53,Residential,C,owner,4632.0,1.0,3.54,1.35,,,,,,,,,,True,Clean,False,2,REG-993138006,122754.0,339682.36,368957.3,0.3327,3.0057,0.748,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
A-000010,Apartment,UK,London,51.49234,-0.09077,D,USD,2025-10-30,19,245210.0,2006.0,12.0,20.0,2.0,1.0,2.0,30.0,174.0,7.43,21.3,Residential,B,tenant,5565.0,0.0,0.78,0.5,,,,,,,,,,False,Clean,False,2,REG-799664353,52420.0,78299.33,78419.25,0.6685,1.496,0.595,approved,"{'legal_clean': True, 'ltv_le_70': True, 'ltv_le_85': True, 'quality_ge_0_50': True, 'quality_ge_0_55': True}"
