application_id,income,loan_amount,collateral_type,collateral_value,customer_type,currency_code
APP_0001,6312448,9923266,Land,10898525,Bank,USD
APP_0002,62999908,166728850,Land,180788871,Non-bank,USD
APP_0003,55400562,49975652,House,49403950,Non-bank,USD
APP_0004,9574786,13413166,Land,12312625,Bank,USD
APP_0005,82272382,172876886,Gold,188015502,Non-bank,USD
APP_0006,23730589,67102947,Land,63335260,Bank,USD
APP_0007,26682609,30805140,Gold,40083312,Bank,USD
APP_0008,20671603,45896044,Land,33874538,Bank,USD
APP_0009,33357386,29108710,Gold,36339767,Non-bank,USD
APP_0010,19952001,46894932,Land,36943884,Bank,USD
APP_0011,34563215,42614826,Land,61315162,Bank,USD
APP_0012,74028033,82123943,Gold,77729699,Bank,USD
APP_0013,43368332,46601597,Car,41540763,Bank,USD
APP_0014,83484324,119101066,Gold,168037156,Bank,USD
APP_0015,43204593,57090018,Land,36688242,Non-bank,USD
APP_0016,28508823,57918643,Land,85712145,Non-bank,USD
APP_0017,72044742,134132072,Car,192589281,Non-bank,USD
APP_0018,74679137,177296318,Gold,212430382,Non-bank,USD
APP_0019,78262186,96840510,Gold,107748696,Bank,USD
APP_0020,80640878,233970179,Land,250796744,Bank,USD
APP_0021,7131108,13254639,House,8947872,Bank,USD
APP_0022,48602488,106855504,House,72843815,Bank,USD
APP_0023,27794255,61721260,Gold,75397494,Bank,USD
APP_0024,25821991,22742576,Gold,33253533,Non-bank,USD
APP_0025,25503966,21998729,Gold,23301589,Bank,USD
APP_0026,75060535,124233408,Car,74653917,Bank,USD
APP_0027,72326900,130538036,Gold,175698679,Non-bank,USD
APP_0028,23169851,27343016,Car,36844013,Bank,USD
APP_0029,39816154,37837385,Gold,34161887,Bank,USD
APP_0030,68024699,119710050,Gold,145069040,Bank,USD
APP_0031,17599409,37822817,House,27513273,Non-bank,USD
APP_0032,58544917,62753484,Gold,46871467,Bank,USD
APP_0033,42281831,44228722,House,54856409,Bank,USD
APP_0034,83829616,242036861,Gold,256301185,Bank,USD
APP_0035,67829340,156837193,House,177231210,Bank,USD
APP_0036,24712196,14477445,Land,15510197,Bank,USD
APP_0037,75979224,224445863,House,324643178,Bank,USD
APP_0038,72925635,38011788,House,49788712,Bank,USD
APP_0039,23108596,26861540,House,37853578,Bank,USD
APP_0040,49044028,136995192,House,118151807,Bank,USD
APP_0041,72502840,50822264,House,75300784,Bank,USD
