application_id,asset_id,asset_type,city,market_value,ai_adjusted,realizable_value,loan_amount,ltv_ai,ltv_cap,confidence,legal_penalty,condition_score,valuation_gap_pct,policy_breaches,decision,human_decision,human_reason
APP_0001,A0001,House,Can Tho,759172,617194.811658344,544467.3054996826,46055,0.0746198754915884,0.8,70.3,0.9573891686271097,0.9699233717248108,-18.701583875808907,legal<0.97,review,review,
APP_0002,A0002,Land,Hue,1661269,954492.2230349822,551310.957344264,13450,0.014091262008645,0.8,63.7,0.9968063731687872,0.6099437965545025,-42.5443908822122,"confidence<70%, condition<0.75",review,review,
APP_0003,A0003,Land,Hanoi,69336,47088.06196242776,35741.06822376568,19863,0.4218266620496926,0.8,67.5,0.9718952018599376,0.8220792169307298,-32.08713804888116,confidence<70%,review,review,
APP_0004,A0004,Car,Hanoi,1797513,1397807.6110145946,1098546.6737486809,123185,0.0881272923607752,0.8,68.1,0.9691659911388704,0.853590044672434,-22.236578482904186,"confidence<70%, legal<0.97",review,review,
APP_0005,A0005,Car,Can Tho,1108512,642731.302570509,386919.8543384659,39689,0.0617505322072687,0.8,64.1,0.9864842854338688,0.6423589615003013,-42.01855256681849,"confidence<70%, condition<0.75",review,review,
APP_0006,A0006,Factory,HCMC,323485,184141.0360020531,112215.073462815,53943,0.2929439367300972,0.8,64.3,0.977649653262645,0.656135838825565,-43.075865650013725,"confidence<70%, condition<0.75",review,review,
APP_0007,A0007,House,Hue,639249,491228.7919493257,357091.35407523345,171004,0.3481147742204012,0.8,66.8,0.9968069993419232,0.7676457277265215,-23.15532883910249,confidence<70%,review,review,
APP_0008,A0008,Land,Hanoi,1130370,981538.7395421016,909762.1534092524,176038,0.1793490087636516,0.8,71.1,0.9890150746954696,0.9864927648572728,-13.166596818554844,,approved,approved,
APP_0009,A0009,Apartment,HCMC,665599,513628.9065454142,398453.8714260188,169415,0.3298393019572402,0.8,67.9,0.973968478206227,0.8384170212937492,-22.832079593657117,confidence<70%,review,review,
APP_0010,A0010,House,HCMC,261722,220240.34962550373,197273.5799058492,58196,0.264238592514752,0.8,70.5,0.9688179736740412,0.9732092886400844,-15.849508399942025,legal<0.97,review,review,
APP_0011,A0011,Car,HCMC,1348678,1077078.7885257662,942521.3159762,127740,0.1185985661966679,0.8,69.9,0.999331577246216,0.9217443662451884,-20.138180609028527,confidence<70%,review,review,
APP_0012,A0012,Factory,Hue,1360868,918568.2653174156,677035.1633467551,126046,0.1372200681856173,0.8,67.0,0.9858880118001822,0.7869526406221166,-32.501295840785765,confidence<70%,review,review,
APP_0013,A0013,Land,Can Tho,281804,236360.6223171576,204709.91321537652,45197,0.1912205153164344,0.8,69.7,0.997559733000192,0.9139053797008748,-16.125880996310354,confidence<70%,review,review,
APP_0014,A0014,Land,Can Tho,598405,319515.1379323032,176166.54708459365,115172,0.3604586647922825,0.8,63.0,0.955923928860852,0.6071347135907951,-46.60553672975607,"confidence<70%, legal<0.97, condition<0.75",review,review,
APP_0015,A0015,Land,Hue,525552,307208.96095246327,186446.6467503031,109798,0.3574049391644857,0.8,64.3,0.9925266839595392,0.6436575987062939,-41.54546820248743,"confidence<70%, condition<0.75",review,review,
APP_0016,A0016,Land,HCMC,1335874,1059597.1235434662,920917.1309972896,85271,0.0804749258990434,0.8,69.9,0.9818536941995604,0.9317714459530946,-20.681357407699664,confidence<70%,review,review,
APP_0017,A0017,Car,Can Tho,1474076,1210652.2891680235,1010254.9200689069,152815,0.1262253426250212,0.8,69.2,0.9560960839167556,0.9187268353300648,-17.870429396583113,"confidence<70%, legal<0.97",review,review,
APP_0018,A0018,House,Da Nang,1467639,990189.0410985546,638522.277924386,138747,0.1401217285197063,0.8,65.1,0.979412899998461,0.6930562967865734,-32.53183915809306,"confidence<70%, condition<0.75",review,review,
APP_0019,A0019,Factory,Da Nang,1880584,1398382.367549484,1062184.1055526352,111204,0.0795233139236968,0.8,67.5,0.9843048182552724,0.8123078362396214,-25.64105790810281,confidence<70%,review,review,
APP_0020,A0020,Car,Hue,1548862,1234133.5263798577,938884.3514527716,147896,0.1198379242105433,0.8,67.6,0.95061513429443,0.8424063282800044,-20.319981613606785,"confidence<70%, legal<0.97",review,let see see,
APP_0021,A0021,Car,Hue,675324,606591.9246776063,530884.510561052,154990,0.2555095010247204,0.8,70.0,0.9727158980920872,0.9470955815104044,-10.17764440807578,,approved,denied,
APP_0022,A0022,Apartment,Can Tho,260094,218930.8579348332,173437.86910305114,117718,0.5376948736712112,0.8,68.2,0.991269975559816,0.8412428629354902,-15.82625591715566,confidence<70%,review,review,
APP_0023,A0023,House,Da Nang,1248553,806795.9102142928,565702.1748973608,60858,0.0754317160381186,0.8,66.3,0.9647679512672044,0.7650286277094721,-35.38152483600673,"confidence<70%, legal<0.97",review,review,
APP_0024,A0024,Factory,Hue,1836223,1145102.073831419,793451.6544093296,154100,0.134573155984596,0.8,66.1,0.9729274040899276,0.7496736173628731,-37.63818044804912,"confidence<70%, condition<0.75",review,review,
APP_0025,A0025,Land,Hue,1951552,1256858.0293170128,894164.6041653196,146346,0.11643797197964,0.8,66.5,0.9721157063533946,0.770352834549404,-35.59700026865732,confidence<70%,review,review,
APP_0026,A0026,Land,HCMC,498917,382592.1663730376,301938.6431950036,196849,0.514513932331973,0.8,68.2,0.9650963695721244,0.8607724102319896,-23.3154680291436,"confidence<70%, legal<0.97",review,review,
APP_0027,A0027,Car,HCMC,511088,422832.085359197,378848.1477186599,38459,0.090955727655646,0.8,70.4,0.9959220947757778,0.94699625270093,-17.26824238503017,,approved,approved,
APP_0028,A0028,Factory,Hue,122954,91718.36607570044,67354.44294653341,89661,0.9775686575794168,0.8,67.0,0.9890647017715758,0.7815587528305199,-25.4043251332202,"confidence<70%, ltv>cap",review,review,
APP_0029,A0029,Car,Hanoi,325461,184809.1631649448,117287.7691869138,185603,1.0042954408832352,0.8,64.8,0.9555294205498056,0.6991358251805433,-43.21618775676816,"confidence<70%, legal<0.97, condition<0.75, ltv>cap",review,review,
APP_0030,A0030,Car,HCMC,1131962,721747.8790607464,476233.6830508509,107770,0.1493180695456251,0.8,65.4,0.9998517328918788,0.6946649451990324,-36.2392130600898,"confidence<70%, condition<0.75",review,review,
APP_0031,A0031,Car,Hue,1116266,847282.1071034283,718775.1481190749,189098,0.2231818640033155,0.8,69.4,0.9939600012153872,0.8984057120973785,-24.09675587150121,confidence<70%,review,review,
APP_0032,A0032,Apartment,Can Tho,773298,690281.2841355411,585895.2216470484,12369,0.0179187822185995,0.8,69.5,0.964195421893202,0.9266275053695642,-10.73541065209776,"confidence<70%, legal<0.97",review,review,
APP_0033,A0033,House,Da Nang,654413,386354.2130417505,233756.2641958558,16682,0.0431779942780054,0.8,64.2,0.9918448289830468,0.64211123194165,-40.96171484341685,"confidence<70%, condition<0.75",review,review,
APP_0034,A0034,Car,HCMC,1668089,875938.9998538939,498142.3783803285,161245,0.1840824532608955,0.8,63.4,0.9553209765935692,0.6266235427820712,-47.48847334561322,"confidence<70%, legal<0.97, condition<0.75",review,review,
APP_0035,A0035,Factory,Da Nang,947066,714052.1235055419,568277.7867277995,78101,0.1093771692976329,0.8,68.3,0.999955236523712,0.8377734655025807,-24.603763253506944,confidence<70%,review,review,
APP_0036,A0036,House,Hue,1626090,986819.6824030876,606982.2837119345,108843,0.110296746144085,0.8,64.4,0.9832842368053268,0.6584692976770793,-39.31334167216528,"confidence<70%, condition<0.75",review,review,
APP_0037,A0037,Factory,Da Nang,1928263,1700000.7791875526,1475462.801633216,91321,0.0537182106726111,0.8,69.8,0.9825062507779398,0.9298656761825366,-11.837712013996398,confidence<70%,review,review,
APP_0038,A0038,Factory,Hanoi,668420,427362.0844072689,280623.74381777976,87512,0.2047724943156223,0.8,65.3,0.9545220363492066,0.7241338695696298,-36.06383944117936,"confidence<70%, legal<0.97, condition<0.75",review,review,
APP_0039,A0039,Apartment,Da Nang,445339,285061.03962418734,177152.6996912214,188500,0.6612618835899517,0.8,64.6,0.9948516699448312,0.6575487731884571,-35.990102006743776,"confidence<70%, condition<0.75",review,review,
APP_0040,A0040,Land,Da Nang,1908153,1652633.268398625,1446556.9606165253,27873,0.0168658107839063,0.8,70.1,0.9514499751602234,0.96838818899498,-13.390945673715626,legal<0.97,review,review,
