asset_id,asset_type,country,city,geo_lat,geo_lon,location_quality,currency_code,valuation_date,age_years,base_value_hint,year_built,floor,floors_total,bedrooms,bathrooms,parking_slots,area_m2,land_area_m2,frontage_m,road_width_m,zoning,condition_grade,occupancy,monthly_rent,flood_risk_zone,school_dist_km,metro_dist_km,shape_quality,road_access,year_make_model,vehicle_year,odometer_km,engine_cc,accident_history,service_records_count,ownership_count,deposit_amount,interest_rate_apy,maturity_months,inspection_needed,legal_status,ownership_verified,lien_count,registry_id,requested_amount,market_value,estimated_value,LTV,CCR,quality_score
A-000001,Apartment,US,San Jose,37.3192,-121.87499,C,USD,2025-10-30,45,201971.0,1980.0,19.0,21.0,0.0,3.0,1.0,212.0,370.0,28.1,20.38,Commercial,B,owner,4936.0,0.0,1.04,1.9,,,,,,,,,,,,,True,Clean,True,2,REG-762177132,36239.0,75931.66,80573.14,0.4498,2.2234,0.762
A-000002,Land Plot,UK,London,51.49143,-0.12704,B,USD,2025-10-30,44,165657.0,,,,,,,,7742.0,22.92,,Agricultural,,,,,,,B,False,,,,,,,,,,,False,Clean,False,1,REG-930275054,973580.0,2667631.47,2555570.08,0.381,2.6249,0.782
A-000003,Land Plot,FR,Paris,48.87487,2.36086,C,USD,2025-10-30,17,118636.0,,,,,,,,5479.0,12.69,,Agricultural,,,,,,,A,False,,,,,,,,,,,True,Clean,True,0,REG-908278862,840143.0,1328447.53,1231659.78,0.6821,1.466,0.749
A-000004,Land Plot,DE,Berlin,52.50722,13.4045,A,USD,2025-10-30,33,59303.0,,,,,,,,6134.0,39.91,,Industrial,,,,,,,B,True,,,,,,,,,,,False,Clean,True,0,REG-869572005,301350.0,955428.86,933341.65,0.3229,3.0972,0.856
A-000005,Condo,VN,Ho Chi Minh,10.75449,106.67733,A,USD,2025-10-30,39,116518.0,1986.0,14.0,20.0,4.0,3.0,1.0,178.0,406.0,25.16,7.51,Commercial,A,tenant,136.0,0.0,1.53,1.21,,,,,,,,,,,,,False,Clean,True,0,REG-490885124,37054.0,70839.39,70490.56,0.5257,1.9024,0.866
A-000006,Land Plot,VN,Hanoi,21.01841,105.80625,A,USD,2025-10-30,29,288891.0,,,,,,,,3691.0,58.3,,Commercial,,,,,,,C,False,,,,,,,,,,,False,Pending Verification,False,0,REG-917722620,1230159.0,2820685.72,2686700.04,0.4579,2.184,0.938
A-000007,Deposit,JP,Tokyo,35.69681,139.65545,B,USD,2025-10-30,1,229970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,251453.0,2.88,26.0,True,Clean,True,0,REG-870952854,154305.0,251453.0,271591.61,0.5682,1.7601,0.833
A-000008,Car,US,New York,40.71359,-74.0056,B,USD,2025-10-30,6,16387.0,,,,,,,,,,,,,,,,,,,,2019 Kia Corolla,2019.0,78498.0,4236.0,0.0,6.0,2.0,,,,False,Clean,True,0,REG-709932646,7314.0,9385.64,8909.05,0.821,1.2181,0.849
A-000009,Apartment,US,San Jose,37.37993,-121.83172,D,USD,2025-10-30,57,136366.0,1968.0,14.0,21.0,5.0,2.0,0.0,33.0,363.0,27.3,6.79,Mixed,C,owner,3995.0,0.0,1.95,2.61,,,,,,,,,,,,,False,Clean,True,0,REG-340278096,24766.0,32673.64,30737.82,0.8057,1.2411,0.584
A-000010,Apartment,UK,London,51.54257,-0.13643,C,USD,2025-10-30,17,185716.0,2008.0,13.0,36.0,1.0,3.0,2.0,92.0,164.0,5.17,14.75,Mixed,D,tenant,5954.0,1.0,1.88,1.43,,,,,,,,,,,,,True,Clean,False,2,REG-671347978,55855.0,88542.88,93440.58,0.5978,1.6729,0.566
A-000011,Shop,FR,Paris,48.89072,2.35366,D,USD,2025-10-30,9,635380.0,2016.0,0.0,1.0,0.0,1.0,1.0,2176.0,4382.0,9.11,11.38,Mixed,E,tenant,4664.0,0.0,2.34,2.33,,,,,,,,,,,,,True,Clean,False,0,REG-902720307,84900.0,235235.56,234662.55,0.3618,2.764,0.663
A-000012,Condo,DE,Berlin,52.49562,13.39244,C,USD,2025-10-30,7,209129.0,2018.0,23.0,4.0,2.0,3.0,0.0,74.0,488.0,21.23,28.8,Industrial,D,owner,1718.0,0.0,2.18,0.33,,,,,,,,,,,,,False,Clean,True,1,REG-490452277,81334.0,103859.58,113605.99,0.7159,1.3968,0.767
A-000013,Land Plot,VN,Ho Chi Minh,10.77425,106.67073,C,USD,2025-10-30,15,324822.0,,,,,,,,3736.0,34.19,,Residential,,,,,,,B,True,,,,,,,,,,,True,Clean,False,0,REG-846485752,1114205.0,2200743.26,2104255.99,0.5295,1.8886,0.733
A-000014,Shop,VN,Hanoi,20.98485,105.81066,B,USD,2025-10-30,6,723061.0,2019.0,0.0,1.0,0.0,1.0,1.0,1112.0,799.0,25.44,11.38,Mixed,D,owner,863.0,0.0,1.87,0.1,,,,,,,,,,,,,False,Clean,False,2,REG-963229112,176675.0,456147.45,443481.9,0.3984,2.5102,0.826
A-000015,Condo,JP,Tokyo,35.70025,139.69311,B,USD,2025-10-30,2,193547.0,2023.0,5.0,35.0,1.0,1.0,0.0,265.0,571.0,14.82,4.33,Residential,C,owner,2241.0,0.0,2.26,1.58,,,,,,,,,,,,,True,Disputed,True,1,REG-582862218,109692.0,145998.77,137892.7,0.7955,1.2571,0.851
