asset_id,asset_type,country,city,geo_lat,geo_lon,location_quality,currency_code,valuation_date,age_years,base_value_hint,year_built,floor,floors_total,bedrooms,bathrooms,parking_slots,area_m2,land_area_m2,frontage_m,road_width_m,zoning,condition_grade,occupancy,monthly_rent,flood_risk_zone,school_dist_km,metro_dist_km,shape_quality,road_access,year_make_model,vehicle_year,odometer_km,engine_cc,accident_history,service_records_count,ownership_count,inspection_needed,legal_status,ownership_verified,lien_count,registry_id,requested_amount,market_value,estimated_value,LTV,CCR,quality_score
A-000001,Apartment,US,San Jose,37.3192,-121.87499,C,USD,2025-10-30,45,201971.0,1980.0,19.0,21.0,0.0,3.0,1.0,212.0,370.0,28.1,20.38,Commercial,B,owner,4936.0,0.0,1.04,1.9,,,,,,,,,,True,Clean,True,2,REG-762177132,36239.0,75931.66,80573.14,0.4498,2.2234,0.762
A-000002,House,UK,London,51.49143,-0.12704,B,USD,2025-10-30,44,259324.0,1981.0,0.0,5.0,2.0,1.0,2.0,1149.0,455.0,8.93,6.51,Commercial,C,owner,3386.0,0.0,2.74,1.63,,,,,,,,,,False,Clean,False,1,REG-930275054,66223.0,134126.14,135592.73,0.4884,2.0475,0.837
A-000003,Land Plot,FR,Paris,48.87358,2.35135,C,USD,2025-10-30,46,235589.0,,,,,,,,3703.0,36.28,,Residential,,,,,,,A,False,,,,,,,,False,Clean,False,1,REG-349409462,914239.0,1707110.21,1563468.01,0.5848,1.7101,0.747
A-000004,House,DE,Berlin,52.53172,13.42422,B,USD,2025-10-30,12,225088.0,2013.0,0.0,3.0,5.0,3.0,0.0,747.0,4122.0,11.32,10.93,Residential,C,tenant,3030.0,1.0,2.63,0.95,,,,,,,,,,True,Clean,False,0,REG-984464553,42444.0,136321.08,133719.13,0.3174,3.1505,0.742
A-000005,Land Plot,VN,Ho Chi Minh,10.77061,106.70025,A,USD,2025-10-30,22,118343.0,,,,,,,,2454.0,39.67,,Industrial,,,,,,,A,False,,,,,,,,False,Clean,False,0,REG-249592684,576432.0,738117.57,752871.59,0.7656,1.3061,0.914
A-000006,House,VN,Hanoi,21.04598,105.83287,C,USD,2025-10-30,5,289869.0,2020.0,0.0,5.0,0.0,2.0,2.0,654.0,3630.0,19.06,7.77,Commercial,D,tenant,2956.0,0.0,2.23,1.22,,,,,,,,,,False,Clean,True,0,REG-171328162,54623.0,159613.97,161044.72,0.3392,2.9483,0.66
A-000007,Apartment,JP,Tokyo,35.6967,139.69714,A,USD,2025-10-30,55,248246.0,1970.0,14.0,18.0,2.0,2.0,1.0,135.0,22.0,28.92,16.02,Commercial,A,tenant,4696.0,0.0,2.41,0.41,,,,,,,,,,False,Clean,True,0,REG-369993511,64490.0,138455.77,135580.34,0.4757,2.1023,0.883
A-000008,House,US,New York,40.70718,-73.98868,D,USD,2025-10-30,39,375451.0,1986.0,0.0,1.0,1.0,1.0,1.0,2207.0,3656.0,23.98,5.91,Industrial,B,owner,5496.0,0.0,4.13,0.54,,,,,,,,,,True,Clean,False,0,REG-197718166,73022.0,94047.18,95857.36,0.7618,1.3127,0.642
A-000009,House,US,San Jose,37.33918,-121.9031,A,USD,2025-10-30,9,458837.0,2016.0,0.0,1.0,4.0,3.0,2.0,716.0,4475.0,17.49,11.53,Residential,C,owner,4632.0,1.0,3.54,1.35,,,,,,,,,,True,Clean,False,2,REG-993138006,122754.0,339682.36,368957.3,0.3327,3.0057,0.748
A-000010,Apartment,UK,London,51.49234,-0.09077,D,USD,2025-10-30,19,245210.0,2006.0,12.0,20.0,2.0,1.0,2.0,30.0,174.0,7.43,21.3,Residential,B,tenant,5565.0,0.0,0.78,0.5,,,,,,,,,,False,Clean,False,2,REG-799664353,52420.0,78299.33,78419.25,0.6685,1.496,0.595
A-000011,House,FR,Paris,48.85032,2.34345,B,USD,2025-10-30,17,484908.0,2008.0,0.0,5.0,2.0,1.0,1.0,1692.0,809.0,6.75,6.79,Industrial,B,vacant,995.0,0.0,1.15,0.97,,,,,,,,,,True,Clean,False,2,REG-568920464,91046.0,294726.56,312496.41,0.2914,3.4323,0.855
A-000012,Condo,DE,Berlin,52.47705,13.40675,C,USD,2025-10-30,24,114967.0,2001.0,9.0,37.0,2.0,1.0,1.0,385.0,867.0,15.8,9.69,Commercial,C,tenant,1419.0,1.0,0.83,0.91,,,,,,,,,,True,Disputed,True,1,REG-360870233,22032.0,48404.41,47810.79,0.4608,2.1701,0.666
A-000013,Apartment,VN,Ho Chi Minh,10.7887,106.69248,A,USD,2025-10-30,10,221268.0,2015.0,2.0,17.0,3.0,2.0,2.0,326.0,393.0,12.27,16.62,Industrial,D,owner,5250.0,0.0,4.81,2.87,,,,,,,,,,False,Clean,False,1,REG-275339653,57936.0,178470.8,168544.15,0.3437,2.9091,0.93
A-000014,Apartment,VN,Hanoi,21.02525,105.8496,A,USD,2025-10-30,19,216344.0,2006.0,14.0,31.0,3.0,2.0,1.0,317.0,739.0,17.94,16.88,Residential,D,tenant,4704.0,0.0,2.18,1.44,,,,,,,,,,True,Disputed,True,0,REG-981613611,75355.0,148208.83,161009.26,0.468,2.1367,0.874
A-000015,House,JP,Tokyo,35.67343,139.68877,C,USD,2025-10-30,54,444592.0,1971.0,0.0,3.0,4.0,1.0,1.0,1634.0,4805.0,20.97,24.72,Mixed,C,tenant,434.0,0.0,2.99,0.26,,,,,,,,,,False,Clean,True,2,REG-703758844,62378.0,170408.3,180387.81,0.3458,2.8918,0.666
A-000016,Land Plot,US,New York,40.72462,-74.04144,A,USD,2025-10-30,35,194718.0,,,,,,,,6274.0,48.73,,Agricultural,,,,,,,B,True,,,,,,,,True,Pending Verification,False,1,REG-466045395,1253584.0,3607181.18,3663454.91,0.3422,2.9224,0.898
A-000017,Apartment,US,San Jose,37.29417,-121.88391,C,USD,2025-10-30,35,103653.0,1990.0,23.0,33.0,0.0,3.0,0.0,295.0,87.0,21.1,14.3,Mixed,C,owner,4645.0,0.0,2.23,1.42,,,,,,,,,,True,Clean,True,0,REG-312137730,13516.0,35680.73,36364.72,0.3717,2.6905,0.767
A-000018,Car,UK,London,51.47883,-0.1225,C,USD,2025-10-30,36,36159.0,,,,,,,,,,,,,,,,,,,,2012 Mercedes F-150,2012.0,246724.0,997.0,1.0,10.0,2.0,False,Pending Verification,True,0,REG-802271343,5039.0,13960.7,15080.53,0.3341,2.9928,0.737
A-000019,Apartment,FR,Paris,48.86216,2.37619,C,USD,2025-10-30,0,131327.0,2025.0,13.0,36.0,4.0,3.0,1.0,66.0,390.0,26.86,10.67,Mixed,D,owner,3994.0,1.0,1.34,1.31,,,,,,,,,,False,Clean,False,0,REG-498082713,24892.0,79150.66,76361.9,0.326,3.0677,0.572
A-000020,Car,DE,Berlin,52.53641,13.40213,C,USD,2025-10-30,3,58298.0,,,,,,,,,,,,,,,,,,,,2019 Mazda Elantra,2019.0,240981.0,1819.0,0.0,3.0,1.0,True,Clean,False,0,REG-240693167,27639.0,40288.33,42482.46,0.6506,1.537,0.756
A-000021,House,VN,Ho Chi Minh,10.76461,106.72707,C,USD,2025-10-30,3,193355.0,2022.0,0.0,1.0,1.0,1.0,2.0,1596.0,4902.0,19.9,4.47,Residential,A,vacant,3697.0,0.0,2.93,0.72,,,,,,,,,,False,Disputed,False,0,REG-761158981,58810.0,111114.42,113491.66,0.5182,1.9298,0.731
A-000022,Land Plot,VN,Hanoi,21.02657,105.84724,D,USD,2025-10-30,15,270216.0,,,,,,,,3574.0,13.16,,Agricultural,,,,,,,B,True,,,,,,,,True,Clean,False,1,REG-729798349,435358.0,1210646.24,1214846.04,0.3584,2.7905,0.613
A-000023,House,JP,Tokyo,35.70152,139.67309,C,USD,2025-10-30,13,480674.0,2012.0,0.0,3.0,3.0,1.0,2.0,166.0,1549.0,16.33,9.09,Commercial,C,tenant,3538.0,0.0,1.72,1.35,,,,,,,,,,False,Clean,True,0,REG-856103444,137562.0,239417.77,225747.75,0.6094,1.6411,0.73
A-000024,House,US,New York,40.71446,-73.98134,D,USD,2025-10-30,31,222130.0,1994.0,0.0,4.0,1.0,1.0,1.0,2521.0,1968.0,7.01,4.95,Commercial,D,owner,465.0,0.0,2.45,0.95,,,,,,,,,,False,Pending Verification,True,1,REG-760052757,18611.0,60557.08,54529.2,0.3413,2.9299,0.683
A-000025,House,US,San Jose,37.3579,-121.90439,A,USD,2025-10-30,59,290839.0,1966.0,0.0,4.0,2.0,1.0,2.0,2081.0,788.0,14.08,20.3,Industrial,A,owner,4539.0,0.0,2.67,0.65,,,,,,,,,,False,Clean,True,2,REG-168949449,107958.0,186785.11,178494.7,0.6048,1.6534,0.949
A-000026,Land Plot,UK,London,51.52808,-0.12885,A,USD,2025-10-30,28,370004.0,,,,,,,,1256.0,14.95,,Residential,,,,,,,A,True,,,,,,,,False,Clean,False,0,REG-531746320,555393.0,1245194.8,1211651.04,0.4584,2.1816,0.9
A-000027,Land Plot,FR,Paris,48.84427,2.31627,C,USD,2025-10-30,40,323943.0,,,,,,,,6117.0,8.2,,Industrial,,,,,,,B,False,,,,,,,,False,Clean,True,1,REG-466126201,2331538.0,3228207.22,3318037.48,0.7027,1.4231,0.747
A-000028,Land Plot,DE,Berlin,52.51826,13.40386,C,USD,2025-10-30,29,343751.0,,,,,,,,4279.0,10.77,,Residential,,,,,,,D,False,,,,,,,,True,Disputed,False,0,REG-624625493,937721.0,2412124.75,2520692.62,0.372,2.6881,0.678
A-000029,Condo,VN,Ho Chi Minh,10.76694,106.71097,B,USD,2025-10-30,16,125759.0,2009.0,17.0,21.0,3.0,3.0,2.0,326.0,620.0,16.42,23.56,Industrial,C,vacant,5419.0,0.0,0.93,1.77,,,,,,,,,,False,Clean,True,0,REG-473969367,45558.0,79019.31,79949.56,0.5698,1.7549,0.871
A-000030,Land Plot,VN,Hanoi,20.99555,105.84498,C,USD,2025-10-30,17,45150.0,,,,,,,,4094.0,31.93,,Agricultural,,,,,,,D,True,,,,,,,,True,Clean,True,0,REG-211482797,173542.0,343114.07,333205.99,0.5208,1.92,0.665
A-000031,House,JP,Tokyo,35.66745,139.67727,D,USD,2025-10-30,57,138505.0,1968.0,0.0,2.0,0.0,3.0,2.0,2302.0,3589.0,24.12,26.37,Industrial,D,owner,4436.0,1.0,3.45,0.85,,,,,,,,,,False,Clean,True,0,REG-435432106,23065.0,36116.66,36967.46,0.6239,1.6028,0.528
A-000032,Condo,US,New York,40.70177,-73.98275,B,USD,2025-10-30,17,239024.0,2008.0,15.0,18.0,2.0,1.0,0.0,231.0,886.0,8.88,5.29,Industrial,C,tenant,2051.0,0.0,2.17,0.93,,,,,,,,,,False,Clean,True,1,REG-912280027,115279.0,144317.38,135147.58,0.853,1.1724,0.826
A-000033,Car,US,San Jose,37.34329,-121.89781,B,USD,2025-10-30,21,18128.0,,,,,,,,,,,,,,,,,,,,2018 Toyota CX-5,2018.0,116053.0,4370.0,0.0,9.0,2.0,False,Clean,False,0,REG-160450001,5598.0,9814.69,9646.69,0.5803,1.7232,0.863
A-000034,House,UK,London,51.46589,-0.15231,D,USD,2025-10-30,1,233765.0,2024.0,0.0,5.0,1.0,1.0,0.0,581.0,844.0,26.73,10.65,Residential,C,tenant,3368.0,0.0,2.63,2.2,,,,,,,,,,False,Clean,True,0,REG-688095287,72994.0,97161.15,95045.91,0.768,1.3021,0.602
A-000035,House,FR,Paris,48.87582,2.37997,C,USD,2025-10-30,8,133620.0,2017.0,0.0,5.0,5.0,3.0,0.0,923.0,282.0,10.4,4.77,Mixed,C,owner,2730.0,0.0,0.97,1.15,,,,,,,,,,False,Clean,True,2,REG-489675242,28517.0,70672.47,72646.17,0.3925,2.5475,0.702
A-000036,Apartment,DE,Berlin,52.53295,13.40973,A,USD,2025-10-30,16,163215.0,2009.0,1.0,13.0,2.0,2.0,1.0,317.0,467.0,10.77,11.71,Mixed,B,tenant,5179.0,0.0,3.46,1.43,,,,,,,,,,False,Clean,True,0,REG-557350619,58355.0,110024.64,112488.17,0.5188,1.9277,0.848
A-000037,Land Plot,VN,Ho Chi Minh,10.77625,106.70556,A,USD,2025-10-30,6,291317.0,,,,,,,,4983.0,18.29,,Residential,,,,,,,B,True,,,,,,,,False,Clean,True,0,REG-238200479,1425804.0,4715419.91,4934884.56,0.2889,3.4611,0.904
A-000038,House,VN,Hanoi,21.01257,105.82214,B,USD,2025-10-30,59,150189.0,1966.0,0.0,2.0,4.0,3.0,0.0,996.0,2777.0,19.62,8.84,Mixed,B,owner,4939.0,0.0,2.34,0.23,,,,,,,,,,False,Disputed,True,0,REG-918488780,45267.0,68318.73,74063.71,0.6112,1.6362,0.844
A-000039,Car,JP,Tokyo,35.6851,139.71701,A,USD,2025-10-30,10,56633.0,,,,,,,,,,,,,,,,,,,,2018 Toyota Sportage,2018.0,69922.0,994.0,0.0,8.0,3.0,False,Clean,True,1,REG-154205202,23267.0,31078.58,31147.28,0.747,1.3387,0.894
A-000040,Apartment,US,New York,40.70698,-74.02492,C,USD,2025-10-30,3,181271.0,2022.0,4.0,10.0,5.0,3.0,2.0,120.0,619.0,18.39,13.7,Industrial,C,tenant,4578.0,0.0,1.87,0.2,,,,,,,,,,True,Clean,False,1,REG-116344489,29322.0,95752.05,92985.32,0.3153,3.1712,0.717
A-000041,House,US,San Jose,37.32744,-121.88377,B,USD,2025-10-30,57,220846.0,1968.0,0.0,1.0,4.0,1.0,2.0,2585.0,4918.0,9.52,15.68,Mixed,C,vacant,3875.0,0.0,1.88,2.17,,,,,,,,,,False,Clean,False,0,REG-423685312,66543.0,113755.26,107340.71,0.6199,1.6131,0.863
A-000042,Land Plot,UK,London,51.48211,-0.12653,B,USD,2025-10-30,59,169543.0,,,,,,,,6451.0,53.82,,Industrial,,,,,,,B,True,,,,,,,,True,Clean,False,0,REG-981302169,1600580.0,2710575.42,2614720.73,0.6121,1.6336,0.827
A-000043,Condo,FR,Paris,48.85276,2.3402,A,USD,2025-10-30,19,124203.0,2006.0,8.0,27.0,0.0,2.0,0.0,383.0,727.0,6.57,23.34,Residential,D,owner,2868.0,0.0,0.66,0.87,,,,,,,,,,False,Clean,False,1,REG-217997823,26097.0,80899.69,76822.78,0.3397,2.9437,0.945
A-000044,Condo,DE,Berlin,52.48216,13.37083,B,USD,2025-10-30,52,252261.0,1973.0,22.0,5.0,5.0,2.0,2.0,158.0,952.0,5.87,6.72,Mixed,C,owner,1826.0,1.0,1.17,0.75,,,,,,,,,,True,Clean,False,1,REG-371463893,44443.0,116908.45,123042.28,0.3612,2.7685,0.725
