asset_id,asset_type,country,city,geo_lat,geo_lon,location_quality,currency_code,valuation_date,age_years,base_value_hint,year_built,floor,floors_total,bedrooms,bathrooms,parking_slots,area_m2,land_area_m2,frontage_m,road_width_m,zoning,condition_grade,occupancy,monthly_rent,flood_risk_zone,school_dist_km,metro_dist_km,shape_quality,road_access,year_make_model,vehicle_year,odometer_km,engine_cc,accident_history,service_records_count,ownership_count,inspection_needed,legal_status,ownership_verified,lien_count,registry_id,requested_amount,market_value,estimated_value,LTV,CCR,quality_score
A-000001,Apartment,US,San Jose,37.3192,-121.87499,C,VND,2025-10-30,45,5178743589.74,1980.0,19.0,21.0,0.0,3.0,1.0,212.0,370.0,28.1,20.38,Commercial,B,owner,126564102.56,0.0,1.04,1.9,,,,,,,,,,True,Clean,True,2,REG-762177132,929205128.21,1946965641.03,2065977948.72,0.4498,2.2234,0.762
A-000002,House,UK,London,51.49143,-0.12704,B,VND,2025-10-30,44,6649333333.33,1981.0,0.0,5.0,2.0,1.0,2.0,1149.0,455.0,8.93,6.51,Commercial,C,owner,86820512.82,0.0,2.74,1.63,,,,,,,,,,False,Clean,False,1,REG-930275054,1698025641.03,3439131794.87,3476736666.67,0.4884,2.0475,0.837
A-000003,Land Plot,FR,Paris,48.87358,2.35135,C,VND,2025-10-30,46,6040743589.74,,,,,,,,3703.0,36.28,,Residential,,,,,,,A,False,,,,,,,,False,Clean,False,1,REG-349409462,23442025641.03,43772056666.67,40088923333.33,0.5848,1.7101,0.747
A-000004,House,DE,Berlin,52.53172,13.42422,B,VND,2025-10-30,12,5771487179.49,2013.0,0.0,3.0,5.0,3.0,0.0,747.0,4122.0,11.32,10.93,Residential,C,tenant,77692307.69,1.0,2.63,0.95,,,,,,,,,,True,Clean,False,0,REG-984464553,1088307692.31,3495412307.69,3428695641.03,0.3174,3.1505,0.742
A-000005,Land Plot,VN,Ho Chi Minh,10.77061,106.70025,A,VND,2025-10-30,22,3034435897.44,,,,,,,,2454.0,39.67,,Industrial,,,,,,,A,False,,,,,,,,False,Clean,False,0,REG-249592684,14780307692.31,18926091538.46,19304399743.59,0.7656,1.3061,0.914
A-000006,House,VN,Hanoi,21.04598,105.83287,C,VND,2025-10-30,5,7432538461.54,2020.0,0.0,5.0,0.0,2.0,2.0,654.0,3630.0,19.06,7.77,Commercial,D,tenant,75794871.79,0.0,2.23,1.22,,,,,,,,,,False,Clean,True,0,REG-171328162,1400589743.59,4092665897.44,4129351794.87,0.3392,2.9483,0.66
A-000007,Apartment,JP,Tokyo,35.6967,139.69714,A,VND,2025-10-30,55,6365282051.28,1970.0,14.0,18.0,2.0,2.0,1.0,135.0,22.0,28.92,16.02,Commercial,A,tenant,120410256.41,0.0,2.41,0.41,,,,,,,,,,False,Clean,True,0,REG-369993511,1653589743.59,3550147948.72,3476418974.36,0.4757,2.1023,0.883
A-000008,House,US,New York,40.70718,-73.98868,D,VND,2025-10-30,39,9626948717.95,1986.0,0.0,1.0,1.0,1.0,1.0,2207.0,3656.0,23.98,5.91,Industrial,B,owner,140923076.92,0.0,4.13,0.54,,,,,,,,,,True,Clean,False,0,REG-197718166,1872358974.36,2411466153.85,2457881025.64,0.7618,1.3127,0.642
A-000009,House,US,San Jose,37.33918,-121.9031,A,VND,2025-10-30,9,11765051282.05,2016.0,0.0,1.0,4.0,3.0,2.0,716.0,4475.0,17.49,11.53,Residential,C,owner,118769230.77,1.0,3.54,1.35,,,,,,,,,,True,Clean,False,2,REG-993138006,3147538461.54,8709804102.56,9460443589.74,0.3327,3.0057,0.748
A-000010,Apartment,UK,London,51.49234,-0.09077,D,VND,2025-10-30,19,6287435897.44,2006.0,12.0,20.0,2.0,1.0,2.0,30.0,174.0,7.43,21.3,Residential,B,tenant,142692307.69,0.0,0.78,0.5,,,,,,,,,,False,Clean,False,2,REG-799664353,1344102564.1,2007675128.21,2010750000.0,0.6685,1.496,0.595
A-000011,House,FR,Paris,48.85032,2.34345,B,VND,2025-10-30,17,12433538461.54,2008.0,0.0,5.0,2.0,1.0,1.0,1692.0,809.0,6.75,6.79,Industrial,B,vacant,25512820.51,0.0,1.15,0.97,,,,,,,,,,True,Clean,False,2,REG-568920464,2334512820.51,7557091282.05,8012728461.54,0.2914,3.4323,0.855
A-000012,Condo,DE,Berlin,52.47705,13.40675,C,VND,2025-10-30,24,2947871794.87,2001.0,9.0,37.0,2.0,1.0,1.0,385.0,867.0,15.8,9.69,Commercial,C,tenant,36384615.38,1.0,0.83,0.91,,,,,,,,,,True,Disputed,True,1,REG-360870233,564923076.92,1241138717.95,1225917692.31,0.4608,2.1701,0.666
A-000013,Apartment,VN,Ho Chi Minh,10.7887,106.69248,A,VND,2025-10-30,10,5673538461.54,2015.0,2.0,17.0,3.0,2.0,2.0,326.0,393.0,12.27,16.62,Industrial,D,owner,134615384.62,0.0,4.81,2.87,,,,,,,,,,False,Clean,False,1,REG-275339653,1485538461.54,4576174358.97,4321644871.79,0.3437,2.9091,0.93
A-000014,Apartment,VN,Hanoi,21.02525,105.8496,A,VND,2025-10-30,19,5547282051.28,2006.0,14.0,31.0,3.0,2.0,1.0,317.0,739.0,17.94,16.88,Residential,D,tenant,120615384.62,0.0,2.18,1.44,,,,,,,,,,True,Disputed,True,0,REG-981613611,1932179487.18,3800226410.26,4128442564.1,0.468,2.1367,0.874
A-000015,House,JP,Tokyo,35.67343,139.68877,C,VND,2025-10-30,54,11399794871.79,1971.0,0.0,3.0,4.0,1.0,1.0,1634.0,4805.0,20.97,24.72,Mixed,C,tenant,11128205.13,0.0,2.99,0.26,,,,,,,,,,False,Clean,True,2,REG-703758844,1599435897.44,4369443589.74,4625328461.54,0.3458,2.8918,0.666
A-000016,Land Plot,US,New York,40.72462,-74.04144,A,VND,2025-10-30,35,4992769230.77,,,,,,,,6274.0,48.73,,Agricultural,,,,,,,B,True,,,,,,,,True,Pending Verification,False,1,REG-466045395,32143179487.18,92491825128.21,93934741282.05,0.3422,2.9224,0.898
A-000017,Apartment,US,San Jose,37.29417,-121.88391,C,VND,2025-10-30,35,2657769230.77,1990.0,23.0,33.0,0.0,3.0,0.0,295.0,87.0,21.1,14.3,Mixed,C,owner,119102564.1,0.0,2.23,1.42,,,,,,,,,,True,Clean,True,0,REG-312137730,346564102.56,914890512.82,932428717.95,0.3717,2.6905,0.767
A-000018,Car,UK,London,51.47883,-0.1225,C,VND,2025-10-30,36,927153846.15,,,,,,,,,,,,,,,,,,,,2012 Mercedes F-150,2012.0,246724.0,997.0,1.0,10.0,2.0,False,Pending Verification,True,0,REG-802271343,129205128.21,357966666.67,386680256.41,0.3341,2.9928,0.737
A-000019,Apartment,FR,Paris,48.86216,2.37619,C,VND,2025-10-30,0,3367358974.36,2025.0,13.0,36.0,4.0,3.0,1.0,66.0,390.0,26.86,10.67,Mixed,D,owner,102410256.41,1.0,1.34,1.31,,,,,,,,,,False,Clean,False,0,REG-498082713,638256410.26,2029504102.56,1957997435.9,0.326,3.0677,0.572
A-000020,Car,DE,Berlin,52.53641,13.40213,C,VND,2025-10-30,3,1494820512.82,,,,,,,,,,,,,,,,,,,,2019 Mazda Elantra,2019.0,240981.0,1819.0,0.0,3.0,1.0,True,Clean,False,0,REG-240693167,708692307.69,1033034102.56,1089293846.15,0.6506,1.537,0.756
A-000021,House,VN,Ho Chi Minh,10.76461,106.72707,C,VND,2025-10-30,3,4957820512.82,2022.0,0.0,1.0,1.0,1.0,2.0,1596.0,4902.0,19.9,4.47,Residential,A,vacant,94794871.79,0.0,2.93,0.72,,,,,,,,,,False,Disputed,False,0,REG-761158981,1507948717.95,2849087692.31,2910042564.1,0.5182,1.9298,0.731
A-000022,Land Plot,VN,Hanoi,21.02657,105.84724,D,VND,2025-10-30,15,6928615384.62,,,,,,,,3574.0,13.16,,Agricultural,,,,,,,B,True,,,,,,,,True,Clean,False,1,REG-729798349,11163025641.03,31042211282.05,31149898461.54,0.3584,2.7905,0.613
A-000023,House,JP,Tokyo,35.70152,139.67309,C,VND,2025-10-30,13,12324974358.97,2012.0,0.0,3.0,3.0,1.0,2.0,166.0,1549.0,16.33,9.09,Commercial,C,tenant,90717948.72,0.0,1.72,1.35,,,,,,,,,,False,Clean,True,0,REG-856103444,3527230769.23,6138917179.49,5788403846.15,0.6094,1.6411,0.73
A-000024,House,US,New York,40.71446,-73.98134,D,VND,2025-10-30,31,5695641025.64,1994.0,0.0,4.0,1.0,1.0,1.0,2521.0,1968.0,7.01,4.95,Commercial,D,owner,11923076.92,0.0,2.45,0.95,,,,,,,,,,False,Pending Verification,True,1,REG-760052757,477205128.21,1552745641.03,1398184615.38,0.3413,2.9299,0.683
A-000025,House,US,San Jose,37.3579,-121.90439,A,VND,2025-10-30,59,7457410256.41,1966.0,0.0,4.0,2.0,1.0,2.0,2081.0,788.0,14.08,20.3,Industrial,A,owner,116384615.38,0.0,2.67,0.65,,,,,,,,,,False,Clean,True,2,REG-168949449,2768153846.15,4789361794.87,4576787179.49,0.6048,1.6534,0.949
A-000026,Land Plot,UK,London,51.52808,-0.12885,A,VND,2025-10-30,28,9487282051.28,,,,,,,,1256.0,14.95,,Residential,,,,,,,A,True,,,,,,,,False,Clean,False,0,REG-531746320,14240846153.85,31928071794.87,31067975384.62,0.4584,2.1816,0.9
A-000027,Land Plot,FR,Paris,48.84427,2.31627,C,VND,2025-10-30,40,8306230769.23,,,,,,,,6117.0,8.2,,Industrial,,,,,,,B,False,,,,,,,,False,Clean,True,1,REG-466126201,59783025641.03,82774544102.56,85077884102.56,0.7027,1.4231,0.747
A-000028,Land Plot,DE,Berlin,52.51826,13.40386,C,VND,2025-10-30,29,8814128205.13,,,,,,,,4279.0,10.77,,Residential,,,,,,,D,False,,,,,,,,True,Disputed,False,0,REG-624625493,24044128205.13,61849352564.1,64633144102.56,0.372,2.6881,0.678
A-000029,Condo,VN,Ho Chi Minh,10.76694,106.71097,B,VND,2025-10-30,16,3224589743.59,2009.0,17.0,21.0,3.0,3.0,2.0,326.0,620.0,16.42,23.56,Industrial,C,vacant,138948717.95,0.0,0.93,1.77,,,,,,,,,,False,Clean,True,0,REG-473969367,1168153846.15,2026136153.85,2049988717.95,0.5698,1.7549,0.871
A-000030,Land Plot,VN,Hanoi,20.99555,105.84498,C,VND,2025-10-30,17,1157692307.69,,,,,,,,4094.0,31.93,,Agricultural,,,,,,,D,True,,,,,,,,True,Clean,True,0,REG-211482797,4449794871.79,8797796666.67,8543743333.33,0.5208,1.92,0.665
