application_id,ai_decision,rule_reasons,customer_type,human_decision,human_rule_reasons
APP_0001,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,denied,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0002,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0003,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0004,denied,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": false}",bank,denied,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": false}"
APP_0005,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",non-bank,denied,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0006,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0007,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0008,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0009,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",non-bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
APP_0010,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}",bank,approved,"{""model_threshold"": true, ""ndi_value"": true, ""ndi_ratio"": true}"
